Id,mpn,title,link,category,fb_product_category,condition,image_link,brand,sale_price,price,inventory,description,availability
10970,Ri-909,Σετ Ριχτάρια Chenille 3 Τεμαχίων Ri-909,https://familystore.gr/product/set-richtaria-chenille-3-temachion-ri-909/,ΡΙΧΤΑΡΙΑ,376,new,https://familystore.gr/wp-content/uploads/2021/01/9-makrino.jpg,Homeone,39.90,65.90,2,"ΣΕΤ 3 ΤΕΜΑΧΙΩΝ ΡΙΧΤΑΡΙΑ ΚΑΝΑΠΕ CHENILLE
 
Προσφέρει άψογη εφαρμογή στα έπιπλα. Υποαλλεργικό και ανθεκτικό στη χρήση
ιδανικό για όλους τους μήνες του χρόνου.
Στρώστε τα στους Καναπέδες για να τα καλύψετε όλα ή σε ένα μέρος των καναπέδων σαν διακοσμητικά
 
TO Σετ Περιλαμβάνει
1 τμχ 180Χ180
1 τμχ 180Χ240
1  τμχ 180Χ280
",in stock
10972,Ri-110,Σετ Ριχτάρια Chenille 3 Τεμαχίων Ri-110,https://familystore.gr/product/set-richtaria-chenille-3-temachion-ri-110/,ΡΙΧΤΑΡΙΑ,376,new,https://familystore.gr/wp-content/uploads/2021/01/11-kontino.jpg,Homeone,39.90,65.90,3,"ΣΕΤ 3 ΤΕΜΑΧΙΩΝ ΡΙΧΤΑΡΙΑ ΚΑΝΑΠΕ CHENILLE
 
Προσφέρει άψογη εφαρμογή στα έπιπλα. Υποαλλεργικό και ανθεκτικό στη χρήση
ιδανικό για όλους τους μήνες του χρόνου.
Στρώστε τα στους Καναπέδες για να τα καλύψετε όλα ή σε ένα μέρος των καναπέδων σαν διακοσμητικά
 
TO Σετ Περιλαμβάνει
1 τμχ 180Χ180
1 τμχ 180Χ240
1  τμχ 180Χ280
",in stock
10976,Ri-606,Σετ Ριχτάρια Chenille 3 Τεμαχίων Ri-606,https://familystore.gr/product/set-richtaria-chenille-3-temachion-ri-606-2/,ΡΙΧΤΑΡΙΑ,376,new,https://familystore.gr/wp-content/uploads/2021/01/6-kontino-1.jpg,Homeone,39.90,65.90,2,"ΣΕΤ 3 ΤΕΜΑΧΙΩΝ ΡΙΧΤΑΡΙΑ ΚΑΝΑΠΕ CHENILLE
 
Προσφέρει άψογη εφαρμογή στα έπιπλα. Υποαλλεργικό και ανθεκτικό στη χρήση
ιδανικό για όλους τους μήνες του χρόνου.
Στρώστε τα στους Καναπέδες για να τα καλύψετε όλα ή σε ένα μέρος των καναπέδων σαν διακοσμητικά
 
TO Σετ Περιλαμβάνει
1 τμχ 180Χ180
1 τμχ 180Χ240
1  τμχ 180Χ280
",in stock
10549,55632,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Licensed Mercedes-Benz C63 AMG Λευκό12V,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-licensed-mercedes-benz-c63-amg-lefko12v/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/55632-a.jpg,Homeone,258.90,379.90,9,"Ηλεκτροκίνητο Mercedes-Benz C63 AMG Λευκό 12Va
Στην συσκευασία περιλαμβάνεται μπαταρία 12V 7Ah και φορτιστής.
Διαθέτει υποδοχή MP3, τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής και τηλεχειριστήριο.
  ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ

Χειρισμός με ηλεκτρικό πεντάλ Κίνησης ή Τηλεχειριστήριο 2.4G Νέας Γενιάς
Τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής
Διαθέτει MP3, TF, θύρα USB
Οι πόρτες ανοίγουν
Μονοθέσιο
Διαθέτει ζώνη ασφαλείας και αναρτήσεις στους 4 τροχούς
Δύο κινητήρες: 25W*2
Μπαταρία 12V 7A
Κατάλληλο για παιδιά ηλικίας από 1,5 έως 5 ετών.
Μέγιστο βάρος 30kg
Διαστάσεις αυτοκινήτου: 116x67x50cm

",in stock
10550,04501,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Licensed Mercedes-Benz GLE450 AMG Λευκό12V,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-licensed-mercedes-benz-gle450-amg-lefko12v/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/New-Project-7.jpg,Homeone,259.9,350.8,9,"Ηλεκτροκίνητο Mercedes-Benz GLE450 AMG Λευκό 12Va
Στην συσκευασία περιλαμβάνεται μπαταρία 12V 7Ah και φορτιστής.
Διαθέτει υποδοχή MP3, τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής και τηλεχειριστήριο.
  ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ

Χειρισμός με ηλεκτρικό πεντάλ Κίνησης ή Τηλεχειριστήριο 2.4G Νέας Γενιάς
Τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής
Διαθέτει MP3, TF, θύρα USB
Οι πόρτες ανοίγουν
Διαθέτει ζώνη ασφαλείας και αναρτήσεις στους 4 τροχούς
Μονοθέσιο
Δύο κινητήρες: 25W*2
Μπαταρία 12V 7A
Κατάλληλο για παιδιά ηλικίας από 1,5 έως 5 ετών.
Μέγιστο βάρος 35kg
Διαστάσεις αυτοκινήτου: 115x70x58cm

",in stock
10551,63901,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Licensed Mercedes-Benz AMG GLC 63S Coupe Μπλέ12V,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-licensed-mercedes-benz-amg-glc-63s-coupe-ble12v/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/15688-blu-9-1000x1000-1.jpg,Homeone,279.8,398.9,8,"Ηλεκτροκίνητο Mercedes-Benz AMG GLC 63S Coupe Μπλέ 12V
Στην συσκευασία περιλαμβάνεται μπαταρία 12V 7Ah και φορτιστής.
Διαθέτει υποδοχή MP3, τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής και τηλεχειριστήριο.
  ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ

Χειρισμός με ηλεκτρικό πεντάλ Κίνησης ή Τηλεχειριστήριο 2.4G Νέας Γενιάς
Τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής
Διαθέτει MP3, θύρα USB και SD
Διαθέτει εμπρός φώτα
Οι πόρτες ανοίγουν
Μονοθέσιο
Διαθέτει ζώνη ασφαλείας και αναρτήσεις στους 4 τροχούς
Δύο κινητήρες: 35W*2
Μπαταρία 12V 7A
Κατάλληλο για παιδιά ηλικίας από 1,5 έως 5 ετών.
Μέγιστο βάρος 35kg
Διαστάσεις αυτοκινήτου: 116x70x55cm

",in stock
10598,14661,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Lamporghini Huracan Licensed original με MP3 και τηλεχειριστήριο 12V Μπλέ,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-lamporghini-huracan-licensed-original-me-mp3-ke-tilechiristirio-12v-ble-3/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/DSC_1713-1.jpg,Homeone,269.9,390.9,10,"Ηλεκτροκίνητο Lamborghini Huracan Μπλέ 12V
Στην συσκευασία περιλαμβάνεται μπαταρία 12V 4.5Ah και φορτιστής.
Διαθέτει υποδοχή MP3, τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής και τηλεχειριστήριο.
  ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ

Χειρισμός με ηλεκτρικό πεντάλ Κίνησης ή Τηλεχειριστήριο 2.4G Νέας Γενιάς
Διαθέτει MP3, TF, θύρα USB
Οι πόρτες ανοίγουν
Με ζώνη ασφαλείας
Μονοθέσιο
Τεσσερη κινητήρες: 25W*4
Μπαταρία 12V 4.5A
Κατάλληλο για παιδιά ηλικίας από 1,5 έως 5 ετών.
Μέγιστο βάρος 35kg
Διαστάσεις αυτοκινήτου: 120*64*47cm

",in stock
10620,37001,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Range Rover Evoque Licensed original με MP3 και τηλεχειριστήριο 12V Λευκό,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-range-rover-evoque-licensed-original-me-mp3-ke-tilechiristirio-12v-lefko/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/RRWH99-1.jpg,Homeone,290.1,354.9,9,"​Ηλεκτροκίνητο παιδικό Αυτοκίνητο Range Rover Evoque Licensed original με επαναφορτιζόμενη μπαταρία 12V 4.5Ah, με μαλακή εκκίνηση, μουσική, MP3 και κλειδί.

Συνοδεύεται από χειριστήριο τηλεκατεύθυνσης 2,4 GHz που του προσδίδει απόλυτο έλεγχο κινήσεων προς όλες τις κατευθύνσεις (μπροστά – πίσω – δεξιά – αριστερά) από τους γονείς σε περίπτωση που τα παιδιά δε μπορούν να φτάσουν στο πεντάλ του γκαζιού ή δε μπορούν να ελέγξουν καλά το αυτοκίνητο. Έτσι δίνεται η δυνατότητα να οδηγηθεί το ηλεκτροκίνητο αυτοκίνητο από το ίδιο το παιδί χρησιμοποιώντας τα χειριστήρια του αυτοκινήτου (πεντάλ και τιμόνι) ή από τον ένα γονιό μέσω του τηλεχειριστηρίου.

 Χαρακτηριστικά:

Διαστάσεις : 108 x 67 x 52 cm (Διαστάσεις πακέτου 111 x 59 x 37 cm)
Ηλικία : 2-4 Ετών (Εξαρτάται πάντα και η ανάπτυξη του παιδιού). Δείτε τις ακριβής διαστάσεις του οχήματος.
Κάθισμα : 2θέσιο πλαστικό κάθισμα
Μοτέρ : 2
Ταχύτητα : 3 – 4 km/h, ανάλογα με το βάρος
Μπαταρία : 12V 4.5Ah
Τηλεκατεύθυνση : 4 Κατευθύνσεων (Μπροστά – Πίσω – Αριστερά – Δεξιά)
Ρόδες : PVC
Ρυθμιζόμενη ζώνη ασφαλείας
Εξοπλισμός : Ανοιγόμενες πόρτες, Φώτα, Μουσική, ΜP3, USB/SD.
Μέγιστο βάρος : 25 kg

",in stock
10623,55631,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Licensed Mercedes-Benz C63 AMG Μαύρο 12V,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-licensed-mercedes-benz-c63-amg-mavro-12v/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/55632a.jpg,Homeone,258.9,335.9,10,"Ηλεκτροκίνητο Mercedes-Benz C63 AMG Μαύρο 12Va
Στην συσκευασία περιλαμβάνεται μπαταρία 12V 7Ah και φορτιστής.
Διαθέτει υποδοχή MP3, τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής και τηλεχειριστήριο.
  ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ

Χειρισμός με ηλεκτρικό πεντάλ Κίνησης ή Τηλεχειριστήριο 2.4G Νέας Γενιάς
Τιμόνι πολλαπλών λειτουργιών με εφέ μουσικής
Διαθέτει MP3, TF, θύρα USB
Κάθισμα : Μονοθέσιο πλαστικό κάθισμα
Οι πόρτες ανοίγουν
Διαθέτει ζώνη ασφαλείας και αναρτήσεις στους 4 τροχούς
Δύο κινητήρες: 25W*2
Μπαταρία 12V 7A
Κατάλληλο για παιδιά ηλικίας από 1,5 έως 5 ετών.
Μέγιστο βάρος 30kg
Διαστάσεις αυτοκινήτου: 116x67x50cm

",in stock
10703,RRSG99,Παιδικό Αυτοκινητάκι Ηλεκτροκίνητο Range Rover Evoque Licensed original με MP3 και τηλεχειριστήριο 12V Γκρί,https://familystore.gr/product/pediko-aftokinitaki-ilektrokinito-range-rover-evoque-licensed-original-me-mp3-ke-tilechiristirio-12v-gkri-3/,ΠΑΙΔΙΚΑ ΗΛΕΚΤΡΟΚΙΝΗΤΑ,43,new,https://familystore.gr/wp-content/uploads/2021/01/shd199-sl-2-1000x1000.jpg,Homeone,298,380.7,8,"Ηλεκτροκίνητο παιδικό Αυτοκίνητο Range Rover Evoque Licensed original με επαναφορτιζόμενη μπαταρία 12V 4.5Ah, με μαλακή εκκίνηση, μουσική, MP3 και κλειδί.

Συνοδεύεται από χειριστήριο τηλεκατεύθυνσης 2,4 GHz που του προσδίδει απόλυτο έλεγχο κινήσεων προς όλες τις κατευθύνσεις (μπροστά – πίσω – δεξιά – αριστερά) από τους γονείς σε περίπτωση που τα παιδιά δε μπορούν να φτάσουν στο πεντάλ του γκαζιού ή δε μπορούν να ελέγξουν καλά το αυτοκίνητο. Έτσι δίνεται η δυνατότητα να οδηγηθεί το ηλεκτροκίνητο αυτοκίνητο από το ίδιο το παιδί χρησιμοποιώντας τα χειριστήρια του αυτοκινήτου (πεντάλ και τιμόνι) ή από τον ένα γονιό μέσω του τηλεχειριστηρίου.

 Χαρακτηριστικά:

Διαστάσεις : 108 x 67 x 52 cm (Διαστάσεις πακέτου 111 x 59 x 37 cm)
Ηλικία : 2-4 Ετών (Εξαρτάται πάντα και η ανάπτυξη του παιδιού). Δείτε τις ακριβής διαστάσεις του οχήματος.
Κάθισμα : 2θέσιο πλαστικό κάθισμα
Μοτέρ : 2
Ταχύτητα : 3 – 4 km/h, ανάλογα με το βάρος
Μπαταρία : 12V 4.5Ah
Τηλεκατεύθυνση : 4 Κατευθύνσεων (Μπροστά – Πίσω – Αριστερά – Δεξιά)
Ρόδες : PVC
Ρυθμιζόμενη ζώνη ασφαλείας
Εξοπλισμός : Ανοιγόμενες πόρτες, Φώτα, Μουσική, ΜP3, USB/SD.
Μέγιστο βάρος : 25 kg

",in stock
